"Form Number","Numero de formulario","Nome do entrevistador","Periodo da Pesquisa","Sexo","Copy of Quantos anos tem","Estado Civil","Numero de A. Familiar","Quantas de sexo feminino","Quantas pessoas menor de 18 anos","Quantas criancas estudam","Nasceu neste povoado","Se nao, ha quantos anos vive neste povoado","Situacao escolar","Situacao Religiosa","OBC que faz parte","Ocupacao Principal","Se realiza actividade de Pesca A quantos anos","Quem ensiou a pescar","Tem embarcacao de pesca","Que tipo de arte utiliza","Quantas artes de linha de mao tem","Quantos Arpao tem","Quantas artes de emalhar tem","Quantos marinheiros tem na embarcacao que pesca","Quantas vezes vai pesca por dia","Quantas horas fica na faina","Em que local pesca","Tem mudado a zona de pesca","Que tipo de embarcacao utiliza","Quantas embarcacoes de fibra tem","Quantas embarcacoes de Madeira/contraplacado tem","Onde adquiriu a embarcacao","Qual a especie mais capturada","Mes de maior rendimento","Mes de rendimento medio","Mes de rendimento baixo","Quais sao as capturas Maxima e Minima por faina Maxima","Minima","Qual é o mercado","Qual é o preco local por especie Garoupa","Vermalhao","Atum","Serra","Lagostas","Quem sao compradores de pescado","voce ja se benificou-se de algum credito","Se sim, de que Instituicao","Sempre pescou da mesmo maneira","Qual é o nível de captura a 5 anos comparando com hoje","Se estiver a diminuir, quais sao as causas","Se as capturas estiver a diminuir, qual é o impacto na familia","No passado qual era a arte mais utilizada","Quel era a captura por faina","Como era a forma que pescava no passado comparando com hoje","Tem conhecimento de algum problemas relacionados com a pesca de arpao","Ja pensou em mudar de pescar com arte de Arpao","Se sim, para que arte pensa em mudar","Existe alguma dificuldade em mudar de arte","Copy of Se existir as dificuldades Quias sao","Qual a especie pretende capturar com a nova arte","Quais sao as especies mais capturada","Quais sao os influenciadores sobre o publico-alvo","Qual é OBC que tem maior influencia sobre o publico alvo","Em que incide a influencia","Voce aceitaria de deixar de pescar com arpao?","Se existir, quais sao as causas da resistencia","Acha que seria facil ou dificil em convece-lo para novo comportamento da pesca de garoupa de Mancha castanha","Copy of Se for facil Porque","Se for deficil Porque","Voce aceitaria a mudar de comportamento para adptar nova regra de pesca","Aceitaria porque","Copy of Nao aceitaria porque","Acha que teria alguma resistência em abandonar a pesca com Arpao","Se for sim","Se for nao","A comunidade tem enfrentado alguma dificuldade","Falta de agua","Energia RN","Insumo de pesca","Bomba de combustivel","Sistema de congelamento","Vias de acesso","Tem informação ou conhecimento sobre a conservacao da garoupa de mancha castanha","Ha captura das espécies em conservacao ou protegidas","Qual das especies é a mais capturada","Quais sao os problemas da zona costeira","A forma que voce pesca hoje acha que é melhor que antes","Se nao, porque","Voce acha que a quantidade da garoupa de mancha castanha esta a dimunuir com o passar do tempo","Copy of Se for sim,","voce ja falou com outros pescadores sobre a pesca com Arpao","Se sim. porque","Copy of Se for nao, porque","A mudança proposta pelo projecto pode trazer benefícios aos pescadores e à comunidade","Copy of Copy of Se for sim Porque","Copy of Se for nao Porque","Qual é a fonte de informacao na comunidade","Qual é ONG com maior ligacao com a comunidade","Qual a instituicao que tem maior ligacao com pescadores e a comunidade","Qual é a OBC com maior ligacao com a pesca","Quas sao os aspectos culturais ligado a pesca","Form's Doc","Form Source","Form Created","Form's ID", 
65,65,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Casado","4 Pessoas","1 Pessoa","2 Pessoas","2 Criancas","Sim"," ","Nivel Secundario","Metodista","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Avo","Sim","Emalhe","2 Artes","Nenhum","1 Arte de emalhar","2 marinheiros","1 vez","4 a 6horas","Nas rochas","Nao","Madeira ou contraplacado","1 Embarcacao"," ","Local","Serra","J","J","N","10 a 30Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","Emalhe","50 a 70Kg","Positivo","Pesca com arpao nas rochas","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Nao","Nenhum","Dificil","Nenhum","Tem alto valor nutritivo","Sim","Vai melhorar ecossistema","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Nao","Sim","Sim","Sim","Nao","Nao","Sim","Sim","Tubarao Martelo","erosoa costeira","Nao","Esforco de pesca","Nao sabe"," ","Nao","Maior Rendimento"," ","Nao sabe"," "," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 18:03","fxh9-w6cj-686", 
66,66,"Edmundo Anibal","Linha de base antes da campanha","M","55 a 60 anos","Casado","6 Pessoas","2 Pessoas","3 Pessoas","2 Criancas","Sim"," ","Nivel Primario","Muculumano","Nenhum","Pesca","Mais de 10 anos","Pai","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Inhambane","Vermelhao","N","D","J","70 a 100 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai melhorar ecossistema","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Nao","Sim","Sim","Nao","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Nao ha veda","Sim","Nao sabe","Nao","Maior Rendimento"," ","Sim","Maior gestao comunitaria"," ","Governo","Nao sabe","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 18:11","dx0h-n6cj-6k4", 
67,68,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Divorciado","6 Pessoas","2 Pessoas","3 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Irmao","Sim","Linha","7 Artes","Nenhum","Nenhum","7 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","O","N","D","70 a 100 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nao sabe","Dificil","Nenhum","Nao tem comentario","Nao sabe","Nenhum","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Nao sabe"," ","Sim","Nao sabe","Nao","Fraca producao agricola"," ","Nao sabe"," "," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 25, 18 18:20","50rj-w6cj-63x", 
68,68,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Casado","5 Pessoas","2 Pessoas","2 Pessoas","2 Criancas","Sim"," ","Nivel Primario","Zione","Nenhum","Pesca","entre 5 a 10 anos","Irmao","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","N","D","J","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tubarao Martelo","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","e","Feb 25, 18 22:25","jcwm-y6cf-6xc", 
69,68,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Un. Marital","5 Pessoas","3 Pessoas","3 Pessoas","3 Criancas","Nao"," ","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Pai"," ","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","4 a 6horas","No alto mar","Nao","Fibra","1 Embarcacao","3 Embarcacoes","Local","Vermelhao","O","N","J","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imposicao de preco","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Tipo de arte","Nao","Nenhum","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao","Nenhum","Sim","Nao sabe","Nao sabe"," ","Fraca producao","Nao sabe"," "," ","Governo","FDM","DPMAIP","CCP","Nao sabe","1","e","Feb 26, 18 08:26","mr0f-x654-69w", 
70,69,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","6 Pessoas","5 Pessoas","5 Pessoas","4 Criancas","Sim"," ","Nivel Primario","Zione","Nenhum","Pesca","Mais de 10 anos","Amigo","Sim","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","N","J","D","40 a 60 Kg","5 a 10Kg","Local"," ","200Mt/kg","160Mt/Kg","230Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Negativo","Pesca com arpao nas rochas","Nao"," ","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Nao sabe","Nenhum","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Nao","Nenhum","Sim","Muita procura","Nao sabe"," ","Combustivel esta caro","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","e","Feb 26, 18 08:53","wrvc-365c-p79", 
71,70,"Edmundo Anibal","Linha de base antes da campanha","M","36 a 40 anos","Un. Marital","7 Pessoas","4 Pessoas","2 Pessoas","4 Criancas","Sim"," ","Nenhum","Assembleia de Deus","Nenhum","Pesca","entre 5 a 10 anos","Pai","Sim","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","Nos corais","Nao","Madeira ou contraplacado","1 Embarcacao","I Embarcacao","Local","Vermelhao","N","D","J","70 a 100 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum"," ","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nenhum","Dificil","Nenhum","Tem alto valor nutritivo","Sim","Vai aumentar a producao","Nenhum","Nao","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tubarao Martelo","Lixo na praia","Nao","Pesca sem material em condicoes","Sim","Nao sabe","Nao sabe"," ","Combustivel esta caro","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP"," ","1","","Feb 26, 18 09:08","7r7k-065c-pd8", 
72,71,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","6 Pessoas","4 Pessoas","3 Pessoas","3 Criancas","Nao","Entre 3 a 4 anos","Nivel Primario","Evengelica","Nenhum","Pesca","Mais de 10 anos","Primo","Nao","Linha","4 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","4 a 6horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","O","N","D","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum"," ","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Nenhum","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Raia Manta","Nao sebe","Nao","Esforco de pesca","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim"," "," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 09:20","8r2g-v65c-pcv", 
73,72,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","3 Pessoas","1 Pessoa","1 Pessoa","1 crianca","Sim"," ","Nivel Secundario","Zione","Nenhum","Pesca","Entre 3 a 4 anos","Pai","Sim","Linha","6 Artes","Nenhum","Nenhum","4 Marinheiros","1 vez","7 a 10 horas","No alto mar","Sim","Fibra","1 Embarcacao","Nenhum","Local","Vermelhao","O","N","D","70 a 100 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao"," ","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Tipo de arte","Sim","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Raia Manta","Lixo na praia","Nao"," ","Sim","Maior rendimento","Nao","Muita Procura"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 09:44","5rgf-g65c-p72", 
74,73,"Edmundo Anibal","Linha de base antes da campanha","M","55 a 60 anos","Casado","+ 8 Pessoas","3 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Zione","Poupanca Credito Rotativo - PCR","Pesca","Mais de 10 anos","Avo","Sim","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Madeira ou contraplacado","1 Embarcacao","I Embarcacao","Local","Vermelhao","J","J","N","10 a 30Kg","11 a 15Kg","Fora de local","200 Mt/Kg","250Mt/Kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao"," ","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Nao sebe","Nao","Pesca sem material em condicoes","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 10:01","xr66-965c-pg7", 
75,74,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","+ 8 Pessoas","4 Pessoas","+ 7 Pessoas","5 Criancas","Sim"," ","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Irmao","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","2 vezes","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","O","N","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Insumo de pesca","Sim","Para Linha","Sim","Falta de fundo","Nenhum","Vermelhao","Chefe de povoacao","CCP","Tipo de arte","Nao","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Sim","Sim","Tartaruga","Nao sebe","Nao","Esforco de pesca","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Nao sabe","1","","Feb 26, 18 10:14","hr4x-d65x-p6t", 
76,75,"Edmundo Anibal","Linha de base antes da campanha","M","21 am25 anos","Un. Marital","3 Pessoas","2 Pessoas","1 Pessoa","Nenhum","Nao","Mais de 5 anos","Nivel Secundario","Nenhum","Nenhum","Pesca","Entre 3 a 4 anos","Pai","Nao","Linha","1 arte","Nenhum","Nenhum","1 Marinheiro","1 vez","7 a 10 horas","Nos corais","Nao","Nenhum","Nenhum","Nenhum"," ","Vermelhao","O","N","D","70 a 100 Kg","25 a 30 Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Negativo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Regulo","CCP","Tempo de Pesca","Sim","Nenhum","Dificil","Nenhum","Nao tem comentario","Sim","Vai melhorar ecossistema","Nenhum","Nao","Nenhum","Arpao nao bom para ecossistema","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Raia Manta","Lixo na praia","Nao","Pesca nas rochas","Sim","Muita procura","Nao","Muita Procura"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 10:24","pr9k-965x-p26", 
77,76,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","6 Pessoas","5 Pessoas","4 Pessoas","4 Criancas","Nao","Mais de 5 anos","Nivel medio","Catolica","Nenhum","Pesca","Entre 3 a 4 anos","Pai","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Lagosta","O","N","D","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Nao sabe","Negativo","linha de mao","80 a 100Kg","Positivo","Imposicao de preco","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Sim","Sabe que vai aumentar as especies","Nenhum","Nao","Nenhum","Sabe que pescado do Arpao pode perigar a saude","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tubarao Martelo","Nao sebe","Nao"," ","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 10:35","79c9-t65x-p9c", 
78,77,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","+ 8 Pessoas","5 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Secundario","Zione","Nenhum","Pesca","entre 5 a 10 anos","Amigo"," ","Arpao","1 arte","Nenhum","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","O","N","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","20 a 40Kg","Positivo","Nenhum","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Dificil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Nao","Nao","Sim","Nao","Nao","Nao","Sim","Sim","Raia Manta","Lixo na praia","Nao","Pesca sem material em condicoes","Nao","Muita procura","Nao","Muita Procura"," ","Sim","Vai aumentar a renda"," ","Governo","FDM","SDAE"," ","Apanha de ostras","1","","Feb 26, 18 10:47","29yv-465x-pgn", 
79,78,"Edmundo Anibal","Linha de base antes da campanha","M","+ 60 anos","Viuvo","1 Pessoa","Nenhum","1 Pessoa","Nenhum","Sim"," ","Nivel Basico","Zione"," ","Pesca","Mais de 10 anos","Irmao","Nao","Emalhe"," ","Nenhum","1 Arte de emalhar","1 Marinheiro","1 vez","7 a 10 horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Serra","J","N","N","40 a 60 Kg","+30Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","20 a 40Kg","Positivo","Nenhum","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Nao sabe","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Vai aumentar a producao","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Nao sebe","Nao"," ","Sim","Muita procura","Nao","Muita Procura"," ","Sim","Nenhum"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 10:59","79jf-r65x-pgk", 
80,80,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","4 Pessoas","1 Pessoa","1 Pessoa","1 crianca","Nao","Mais de 5 anos","Nenhum","Zione"," ","Pesca","entre 5 a 10 anos","Amigo"," ","Arpao","1 arte","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Sim","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","O","N","40 a 60 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","50 a 70Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Especie a ser capturadas","Sim","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Sim","Nenhum","Sim","Muita procura","Nao","Muita Procura"," ","Sim","Vai aumentar a renda"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 11:11","89gt-g65x-prr", 
81,81,"Edmundo Anibal","Linha de base antes da campanha","M","21 am25 anos","Un. Marital","5 Pessoas","3 Pessoas","3 Pessoas","Nenhum","Nao","Mais de 5 anos","Nivel Secundario","Catolica","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Tio","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","J","N","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","180Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Sim","Nenhum","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia"," "," "," "," "," "," "," "," "," "," "," ","Nao sabe","SDAE","CCP"," ","1","e","Feb 26, 18 11:30","v9px-7650-pc8", 
82,82,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","7 Pessoas","3 Pessoas","3 Pessoas","3 Criancas","Sim"," ","Nivel Secundario","Zione","Poupanca Credito Rotativo - PCR","Pesca","entre 5 a 10 anos","Amigo","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","4 a 6horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","J","N","10 a 30Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","80 a 100Kg","Positivo","Pesca com arpao nas rochas","Nao","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Maior rendimento","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Nao","Pesca sem material em condicoes","Sim","Muita procura","Nao","Maior Rendimento"," ","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 26, 18 11:37","g943-w650-pcv", 
